prompt,masked_entity,prompt_type,candidate_token,correct_or_wrong,layer,logit,final_logit,slope,curvature,stability,masked_drop
The capital of Canada is,Canada,original,Ottawa,correct,0,-0.126953125,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,1,-1.5234375,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,2,-0.57421875,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,3,-1.75,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,4,0.06396484375,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,5,-1.40625,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,6,-0.59375,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,7,0.7109375,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,8,-0.5234375,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,9,-0.109375,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,10,0.294921875,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,11,-0.1748046875,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,12,-1.9453125,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,13,-0.1513671875,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,14,0.6953125,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,15,0.59765625,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,16,4.71875,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,17,5.46875,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,18,7.59375,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,19,11.0625,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,20,11.375,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,21,14.1875,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,22,17.75,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,23,19.5,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,24,17.125,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,25,14.3125,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,26,13.125,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,27,12.125,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of Canada is,Canada,original,Ottawa,correct,28,19.625,19.625,0.7794782366071425,0.030910659316679016,2.2147189767902984,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,0,-0.126953125,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,1,-0.2265625,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,2,0.328125,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,3,-1.546875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,4,0.00653076171875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,5,-2.078125,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,6,-1.6328125,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,7,-1.046875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,8,-1.984375,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,9,-0.86328125,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,10,-0.8046875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,11,-2.015625,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,12,-2.96875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,13,-1.5390625,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,14,-1.1171875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,15,-0.65234375,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,16,0.296875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,17,0.087890625,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,18,1.4140625,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,19,1.2734375,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,20,3.578125,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,21,4.4375,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,22,4.75,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,23,7.1875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,24,6.28125,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,25,5.625,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,26,4.96875,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,27,3.890625,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of [MASK] is,Canada,masked,Ottawa,correct,28,11.25,11.25,0.3200157428609912,0.02592761303102708,1.7452061182965384,8.375
The capital of Canada is,Canada,original,Toronto,wrong,0,-0.09375,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,1,-1.3046875,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,2,-1.609375,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,3,-1.640625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,4,-1.90625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,5,-1.296875,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,6,0.33203125,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,7,0.84765625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,8,1.1484375,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,9,0.765625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,10,1.828125,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,11,0.94140625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,12,0.045654296875,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,13,0.408203125,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,14,0.88671875,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,15,0.640625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,16,4.5625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,17,5.40625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,18,8.6875,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,19,9.625,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,20,10.6875,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,21,11.8125,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,22,15.125,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,23,16.125,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,24,14.1875,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,25,10.4375,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,26,8.75,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,27,8.375,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of Canada is,Canada,original,Toronto,wrong,28,15.125,15.125,0.6209515952124383,0.01306794410704353,1.9684831519048578,6.0625
The capital of [MASK] is,Canada,masked,Toronto,wrong,0,-0.09375,9.0625,0.19495915755849746,0.014219509186518963,1.7986986838582473,6.0625
The capital of [MASK] is,Canada,masked,Toronto,wrong,1,-0.458984375,9.0625,0.19495915755849746,0.014219509186518963,1.7986986838582473,6.0625
The capital of [MASK] is,Canada,masked,Toronto,wrong,2,-0.326171875,9.0625,0.19495915755849746,0.014219509186518963,1.7986986838582473,6.0625
