prompt,masked_entity,prompt_type,candidate_token,correct_or_wrong,layer,logit,final_logit,slope,curvature,stability,masked_drop
The capital of Canada is,Canada,original,Ottawa,correct,0,-0.126953125,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,1,-1.5078125,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,2,-0.57421875,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,3,-1.75,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,4,0.06103515625,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,5,-1.390625,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,6,-0.5703125,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,7,0.71484375,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,8,-0.52734375,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,9,-0.107421875,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,10,0.306640625,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,11,-0.1591796875,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,12,-1.9453125,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,13,-0.16796875,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,14,0.6875,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,15,0.578125,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,16,4.75,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,17,5.4375,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
The capital of Canada is,Canada,original,Ottawa,correct,18,7.59375,19.625,0.7796538254310341,0.030928324240337576,2.2212903079398463,8.4375
